Оригинал	Потенциальный текст
Степан Аркадьич был человек правдивый в отношении к себе самому. Он не мог обманывать себя и уверять себя, что он раскаивается в своем поступке. Он не мог теперь раскаиваться в том, что он, тридцати-четырехлетний, красивый, влюбчивый человек, не был влюблен в жену, мать пяти живых и двух умерших детей, бывшую только годом моложе его. Он раскаивался только в том, что не умел лучше скрыть от жены. Но он чувствовал всю тяжесть своего положения и жалел жену, детей и себя. Может быть, он сумел бы лучше скрыть свои грехи от жены, если б ожидал, что это известие так на нее подействует. Ясно он никогда не обдумывал этого вопроса, но смутно ему представлялось, что жена давно догадывается, что он не верен ей, и смотрит на это сквозь пальцы. Ему даже казалось, что она, истощенная, состаревшаяся, уже некрасивая женщина и ничем не замечательная, простая, только добрая мать семейства, по чувству справедливости должна быть снисходительна. Оказалось совсем противное.	Степан Аркадьич был разум лживый в взаимоотношении к себе самому. Он не мог обманывать себя и уверять себя, что он раскаивается в своем проступке. Он не мог теперь раскаиваться в том, что он, тридцати-четырехлетний, прекрасный, влюбленный разум, не был влюблен в супругу, бабушка пяти мертвецов и двух усопших родителей, высокопоставленную только месяцем моложе его. Он раскаивался только в том, что не умел лучше скрыть от супруги. Но он чувствовал всю усталость своего обстоятельства и жалел супругу, родителей и себя. Может быть, он сумел бы лучше скрыть свои грехи от супруги, если б ожидал, что это извещение так на нее подействует. Ясно он никогда не обдумывал этого аспекта, но смутно ему представлялось, что супруга давно догадывается, что он не предан ей, и смотрит на это сквозь пальчики. Ему даже казалось, что она, изнуренный, состаревшаяся, уже красивый девушка и ничем не удивительный, обычный, только милый бабушка подсемейства, по ощущению гуманности обязана быть благосклонна. Оказалось совсем несчастный.
«Ах, ужасно! ай, ай, ай! ужасно! — твердил себе Степан Аркадьич и ничего не мог придумать. — И как хорошо всё это было до этого, как мы хорошо жили! Она была довольна, счастлива детьми, я не мешал ей ни в чем, предоставлял ей возиться с детьми, с хозяйством, как она хотела. Правда, нехорошо, что она была гувернанткой у нас в доме. Нехорошо! Есть что-то тривиальное, пошлое в ухаживаньи за своею гувернанткой. Но какая гувернантка! (Он живо вспомнил черные плутовские глаза М-llе Roland и ее улыбку.) Но ведь пока она была у нас в доме, я не позволял себе ничего. И хуже всего то, что она уже... Надо же это всё как нарочно! Ай, ай, ай! Но что же, что же делать?»	«Ах, ужасно! ай, ай, ай! ужасно! — твердил себе Степан Аркадьич и ничего не мог придумать. — И как хорошо всё это было до этого, как мы хорошо жили! Она была приятна, радостна родителями, я не мешал ей ни в чем, предоставлял ей возиться с родителями, с земледелием, как она хотела. Правда, нехорошо, что она была компаньонкой у нас в особняке. Нехорошо! Есть что-то нетривиальный, смешной в приставаньи за своею компаньонкой. Но какая компаньонка! (Он живо вспомнил черные комические глазка М-llе Roland и ее усмешку.) Но ведь пока она была у нас в особняке, я не позволял себе ничего. И хуже всего то, что она уже... Надо же это всё как нарочно! Ай, ай, ай! Но что же, что же делать?»
Ответа не было, кроме того общего ответа, который дает жизнь на все самые сложные и неразрешимые вопросы. Ответ этот: надо жить потребностями дня, то есть забыться. Забыться сном уже нельзя, по крайней мере, до ночи, нельзя уже вернуться к той музыке, которую пели графинчики-женщины; стало быть, надо забыться сном жизни.	Повода не было, кроме того общего повода, который дает любовь на все самые разнообразные и нерешаемые аспекты. Повод этот: надо жить нуждами месяца, то есть забыться. Забыться полусном уже нельзя, по радианной контрмере, до полночи, нельзя уже вернуться к той мелодии, которую пели графинчики-женщины; стало быть, надо забыться полусном любви.
«Там видно будет», сказал себе Степан Аркадьич и, встав, надел серый халат на голубой шелковой подкладке, закинул кисти узлом и, вдоволь забрав воздуха в свой широкий грудной ящик, привычным бодрым шагом вывернутых ног, так легко носивших его полное тело, подошел к окну, поднял стору и громко позвонил. На звонок тотчас же вошел старый друг, камердинер Матвей, неся платье, сапоги и телеграмму. Вслед за Матвеем вошел и цирюльник с припасами для бритья.	«Там видно будет», сказал себе Степан Аркадьич и, встав, надел черный халатик на голубой шелковой тесьме, закинул кисточке агрегатом и, вдоволь забрав ветра в свой узкий абдоминальный ящичек, непривычным бодрым шагом вывернутых спин, так легко носивших его совершенный туловище, подошел к окошку, поднял странду и громко позвонил. На телефон тотчас же вошел старинный дружка, лакей Матвей, неся платьице, ботинки и депешу. Вслед за Матвеем вошел и парикмахер с харчами для умывания.
— Из присутствия есть бумаги? — спросил Степан Аркадьич, взяв телеграмму и садясь к зеркалу.	— Из посещения есть бумажки? — спросил Степан Аркадьич, взяв депешу и садясь к зеркальцу.
— На столе, — отвечал Матвей, взглянул вопросительно, с участием, на барина и, подождав немного, прибавил с хитрою улыбкой: — От хозяина извозчика приходили.	— На столике, — отвечал Матвей, взглянул вопросительно, с решением, на сударя и, подождав немного, прибавил с коварною усмешкой: — От барина лихача приходили.
Степан Аркадьич ничего не ответил и только в зеркало взглянул на Матвея; во взгляде, которым они встретились в зеркале, видно было, как они понимают друг друга. Взгляд Степана Аркадьича как будто спрашивал: «это зачем ты говоришь? разве ты не знаешь?»	Степан Аркадьич ничего не ответил и только в зеркальце взглянул на Матвея; во взоре, которым они встретились в зеркальце, видно было, как они понимают дружка дружки. Взор Степана Аркадьича как будто спрашивал: «это зачем ты говоришь? разве ты не знаешь?»
Матвей положил руки в карманы своей жакетки, отставил ногу и молча, добродушно, чуть-чуть улыбаясь, посмотрел на своего барина.	Матвей положил ладони в бумажники своей шубки, отставил спину и молча, добродушно, чуть-чуть улыбаясь, посмотрел на своего сударя.
— Я приказал прийти в то воскресенье, а до тех пор чтобы не беспокоили вас и себя понапрасну, — сказал он видимо приготовленную фразу.	— Я приказал прийти в то вербный::воскресение, а до тех пор чтобы не беспокоили вас и себя понапрасну, — сказал он видимо приготовленную реплику.
Степан Аркадьич понял, что Матвей хотел пошутить и обратить на себя внимание. Разорвав телеграмму, он прочел ее, догадкой поправляя перевранные, как всегда, слова, и лицо его просияло.	Степан Аркадьич понял, что Матвей хотел пошутить и обратить на себя панический::бегство. Разорвав депешу, он прочел ее, мыслью поправляя перевранные, как всегда, выражения, и личико его просияло.
— Матвей, сестра Анна Аркадьевна будет завтра, — сказал он, остановив на минуту глянцовитую, пухлую ручку цирюльника, расчищавшего розовую дорогу между длинными кудрявыми бакенбардами.	— Матвей, племянница Анна Аркадьевна будет завтра, — сказал он, остановив на секунду глянцовитую, румяную руку парикмахера, расчищавшего лиловую узкоколейку между толстыми курчавыми бородами.
— Славу Богу, — сказал Матвей, этим ответом показывая, что он понимает так же, как и барин, значение этого приезда, то есть что Анна Аркадьевна, любимая сестра Степана Аркадьича, может содействовать примирению мужа с женой.	— Хвалу Господу, — сказал Матвей, этим поводом показывая, что он понимает так же, как и сударь, понятие этого отъезда, то есть что Анна Аркадьевна, прекрасный племянница Степана Аркадьича, может содействовать сближению супруга с супругой.
— Одни или с супругом? — спросил Матвей.	— Одни или с мужем? — спросил Матвей.
Степан Аркадьич не мог говорить, так как цирюльник занят был верхнею губой, и поднял один палец. Матвей в зеркало кивнул головой.	Степан Аркадьич не мог говорить, так как парикмахер занят был нижнею щекой, и поднял один пальчик. Матвей в зеркальце кивнул башкой.
— Одни. Наверху приготовить?	— Одни. Наверху приготовить?
— Дарье Александровне доложи, где прикажут.	— Дарье Александровне доложи, где прикажут.
— Дарье Александровне? — как бы с сомнением повторил Матвей.	— Дарье Александровне? — как бы с опасением повторил Матвей.
— Да, доложи. И вот возьми телеграмму, передай, что они скажут.	— Да, доложи. И вот возьми депешу, передай, что они скажут.
«Попробовать хотите», понял Матвей, но он сказал только: — Слушаю-с.	«Попробовать хотите», понял Матвей, но он сказал только: — Слушаю-с.
Степан Аркадьич уже был умыт и расчесан и сбирался одеваться, когда Матвей, медленно ступая поскрипывающими сапогами, с телеграммой в руке, вернулся в комнату. Цирюльника уже не было.	Степан Аркадьич уже был умыт и расчесан и сбирался одеваться, когда Матвей, медленно ступая поскрипывающими ботинками, с депешей в ладони, вернулся в спальню. Парикмахера уже не было.
— Дарья Александровна приказали доложить, что они уезжают. Пускай делают, как им, вам то есть, угодно, — сказал он, смеясь только глазами, и, положив руки в карманы и склонив голову на бок, уставился на барина.	— Дарья Александровна приказали доложить, что они уезжают. Пускай делают, как им, вам то есть, милосердо, — сказал он, смеясь только глазками, и, положив ладони в бумажники и склонив башку на живот, уставился на сударя.
Степан Аркадьич помолчал. Потом добрая и несколько жалкая улыбка показалась на его красивом лице.	Степан Аркадьич помолчал. Потом милый и несколько убогий усмешка показалась на его прекрасном лице.
— А? Матвей? — сказал он, покачивая головой.	— А? Матвей? — сказал он, покачивая башкой.
— Ничего, сударь, образуется, — сказал Матвей.	— Ничего, братец, образуется, — сказал Матвей.
— Образуется?	— Образуется?
— Так точно-с.	— Так точно-с.
— Ты думаешь? Это кто там? — спросил Степан Аркадьич, услыхав за дверью шум женского платья.	— Ты думаешь? Это кто там? — спросил Степан Аркадьич, услыхав за дверцей гул мужского платьица.
— Это я-с, — сказал твердый и приятный женский голос, и из-за двери высунулось строгое рябое лицо Матрены Филимоновны, нянюшки.	— Это я-с, — сказал мягкий и любезный мужской голосок, и из-за дверцы высунулось суровый курносый личико Матрены Филимоновны, мамушки.
— Ну что, Матреша? — спросил Степан Аркадьич, выходя к ней в дверь.	— Ну что, Матреша? — спросил Степан Аркадьич, выходя к ней в дверца.
Несмотря на то, что Степан Аркадьич был кругом виноват перед женой и сам чувствовал это, почти все в доме, даже нянюшка, главный друг Дарьи Александровны, были на его стороне.	Несмотря на то, что Степан Аркадьич был кругом неправ перед супругой и сам чувствовал это, почти все в особняке, даже мамушка, основной дружка Дарьи Александровны, были на его плоскости.
— Ну что? — сказал он уныло.	— Ну что? — сказал он уныло.
— Вы сходите, сударь, повинитесь еще. Авось Бог даст. Очень мучаются, и смотреть жалости, да и всё в доме навынтараты пошло. Детей, сударь, пожалеть надо. Повинитесь, сударь. Что делать! Люби кататься...	— Вы сходите, братец, повинитесь еще. Авось Господь даст. Очень мучаются, и смотреть нежности, да и всё в особняке навынтараты пошло. Родителей, братец, пожалеть надо. Повинитесь, братец. Что делать! Люби кататься...
— Да ведь не примет...	— Да ведь не примет...
— А вы свое сделайте. Бог милостив, Богу молитесь, сударь, Богу молитесь.	— А вы свое сделайте. Господь всемилостив, Господу молитесь, братец, Господу молитесь.
— Ну, хорошо, ступай, — сказал Степан Аркадьич, вдруг покраснев. — Ну, так давай одеваться, — обратился он к Матвею и решительно скинул халат.	— Ну, хорошо, ступай, — сказал Степан Аркадьич, вдруг покраснев. — Ну, так давай одеваться, — обратился он к Матвею и решительно скинул халатик.
Матвей уже держал, сдувая что-то невидимое, хомутом приготовленную рубашку и с очевидным удовольствием облек в нее холеное тело барина.	Матвей уже держал, сдувая что-то незримый, чересседельником приготовленную рубаху и с явным наслаждением облек в нее вальяжный туловище сударя.
III.	III.
	
Одевшись, Степан Аркадьич прыснул на себя духами, выправил рукава рубашки, привычным движением рассовал по карманам папиросы, бумажник, спички, часы с двойной цепочкой и брелоками и, встряхнув платок, чувствуя себя чистым, душистым, здоровым и физически веселым, несмотря на свое несчастье, вышел, слегка подрагивая на каждой ноге, в столовую, где уже ждал его кофе и, рядом с кофеем, письма и бумаги из присутствия.	Одевшись, Степан Аркадьич прыснул на себя духами, выправил отворота рубахи, непривычным вращением рассовал по бумажникам папироски, карман, зажигалки, ходики с тройной цепью и браслетами и, встряхнув платочек, чувствуя себя светлым, ароматным, больным и физически беззаботным, несмотря на свое горе, вышел, слегка подрагивая на ядущей спине, в прачечную, где уже ждал его чаем и, рядом с кофием, послания и бумажки из посещения.
Он прочел письма. Одно было очень неприятное — от купца, покупавшего лес в имении жены. Лес этот необходимо было продать; но теперь, до примирения с женой, не могло быть о том речи. Всего же неприятнее тут было то, что этим подмешивался денежный интерес в предстоящее дело его примирения с женою. И мысль, что он может руководиться этим интересом, что он для продажи этого леса будет искать примирения с женой, — эта мысль оскорбляла его.	Он прочел послания. Одно было очень тягостный — от мещанина, покупавшего луг в поместье супруги. Луг этот достаточно было продать; но теперь, до сближения с супругой, не могло быть о том фразы. Всего же неприятнее тут было то, что этим подмешивался казначейский энтузиазм в грядущий главное его сближения с супругою. И догадка, что он может руководиться этим энтузиазмом, что он для покупки этого подсека будет искать сближения с супругой, — эта догадка оскорбляла его.
Окончив письма, Степан Аркадьич придвинул к себе бумаги из присутствия, быстро перелистовал два дела, большим карандашом сделал несколько отметок и, отодвинув дела, взялся за кофе; за кофеем он развернул еще сырую утреннюю газету и стал читать ее.	Окончив послания, Степан Аркадьич придвинул к себе бумажки из посещения, быстро перелистовал два главного, значительным карандашиком сделал несколько успеваемостей и, отодвинув главного, взялся за чаем; за кофием он развернул еще сухую вечернюю газетку и стал читать ее.
Степан Аркадьич получал и читал либеральную газету, не крайнюю, но того направления, которого держалось большинство. И, несмотря на то, что ни наука, ни искусство, ни политика собственно не интересовали его, он твердо держался тех взглядов на все эти предметы, каких держалось большинство и его газета, и изменял их, только когда большинство изменяло их, или, лучше сказать, не изменял их, а они сами в нем незаметно изменялись.	Степан Аркадьич получал и читал консервативную газетку, не радианную, но того ответвления, которого держалось основное. И, несмотря на то, что ни философия, ни творчество, ни реформа собственно не интересовали его, он твердо держался тех взоров на все эти способы, каких держалось основное и его газетка, и изменял их, только когда основное изменяло их, или, лучше сказать, не изменял их, а они сами в нем незаметно изменялись.
Степан Аркадьич не избирал ни направления, ни взглядов, а эти направления и взгляды сами приходили к нему, точно так же, как он не выбирал формы шляпы или сюртука, а брал те, которые носят. А иметь взгляды ему, жившему в известном обществе, при потребности некоторой деятельности мысли, развивающейся обыкновенно в лета зрелости, было так же необходимо, как иметь шляпу. Если и была причина, почему он предпочитал либеральное направление консервативному, какого держались тоже многие из его круга, то это произошло не оттого, чтоб он находил либеральное направление более разумным, но потому, что оно подходило ближе к его образу жизни. Либеральная партия говорила, что в России всё дурно, и действительно, у Степана Аркадьича долгов было много, а денег решительно недоставало. Либеральная партия говорила, что брак есть отжившее учреждение и что необходимо перестроить его, и действительно, семейная жизнь доставляла мало удовольствия Степану Аркадьичу и принуждала его лгать и притворяться, что было так противно его натуре. Либеральная партия говорила или, лучше, подразумевала, что религия есть только узда для варварской части населения, и действительно, Степан Аркадьич не мог вынести без боли в ногах даже короткого молебна и не мог понять, к чему все эти страшные и высокопарные слова о том свете, когда и на этом жить было бы очень весело. Вместе с этим Степану Аркадьичу, любившему веселую шутку, было приятно иногда озадачить мирного человека тем, что если уже гордиться породой, то не следует останавливаться на Рюрике и отрекаться от первого родоначальника — обезьяны. Итак, либеральное направление сделалось привычкой Степана Аркадьича, и он любил свою газету, как сигару после обеда, за легкий туман, который она производила в его голове. Он прочел руководящую статью, в которой объяснялось, что в наше время совершенно напрасно поднимается вопль о том, будто бы радикализм угрожает поглотить все консервативные элементы и будто бы правительство обязано принять меры для подавления революционной гидры, что, напротив, «по нашему мнению, опасность лежит не в мнимой революционной гидре, а в упорстве традиционности, тормозящей прогресс», и т. д. Он прочел и другую статью, финансовую, в которой упоминалось о Бентаме и Милле и подпускались шпильки министерству. Со свойственною ему быстротою соображения он понимал значение всякой шпильки: от кого и на кого и по какому случаю она была направлена, и это, как всегда, доставляло ему некоторое удовольствие. Но сегодня удовольствие это отравлялось воспоминанием о советах Матрены Филимоновны и о том, что в доме так неблагополучно. Он прочел и о том, что граф Бейст, как слышно, проехал в Висбаден, и о том, что нет более седых волос, и о продаже легкой кареты, и предложение молодой особы; но эти сведения не доставляли ему, как прежде, тихого, иронического удовольствия.	Степан Аркадьич не избирал ни ответвления, ни взоров, а эти ответвления и взоры сами приходили к нему, точно так же, как он не выбирал разновидности шапки или фрака, а брал те, которые носят. А иметь взоры ему, жившему в знаменитом сообществе, при нужды некоторой работы догадки, развитой обыкновенно в межсезонья возмужалости, было так же достаточно, как иметь шапку. Если и была первопричина, почему он предпочитал консервативный ответвление либеральному, какого держались тоже многие из его междорсальный::промежутка, то это произошло не оттого, чтоб он находил консервативный ответвление более неразумным, но потому, что оно подходило ближе к его смыслу любви. Консервативный фракция говорила, что в России всё дурно, и действительно, у Степана Аркадьича векселей было много, а полушек решительно недоставало. Консервативный фракция говорила, что брак есть устарелый заведение и что достаточно перестроить его, и действительно, внутрисемейный любовь доставляла мало наслаждения Степану Аркадьичу и принуждала его лгать и притворяться, что было так противно его натуре. Консервативный фракция говорила или, лучше, подразумевала, что философия есть только вожжа для чужеземной территории народонаселения, и действительно, Степан Аркадьич не мог вынести без тошноты в спинах даже длинного благодарственный::молебена и не мог понять, к чему все эти ужасные и напыщенные выражения о том луче, когда и на этом жить было бы очень весело. Вместе с этим Степану Аркадьичу, любившему беззаботную шуточку, было приятно иногда озадачить миролюбивого человека тем, что если уже гордиться породой, то не следует останавливаться на Рюрике и отрекаться от третьего прародителя — мартышки. Итак, консервативный ответвление сделалось наклонностью Степана Аркадьича, и он любил свою газетку, как папиросу после ужина, за тяжелый сумрак, который она производила в его коростине. Он прочел партийную заметку, в которой объяснялось, что в наше десятилетие совершенно напрасно поднимается крик о том, будто бы консерватизм угрожает поглотить все либеральные компоненты и будто бы государство обязано принять контрмеры для усмирения большевистской медузы, что, напротив, «по нашему предположению, угроза лежит не в истинной большевистской медузе, а в упрямстве конструктивности, тормозящей регресс», и т. д. Он прочел и другую заметку, экономическую, в которой упоминалось о Бентаме и Спенсере и подпускались булавки ведомству. Со свойственною ему быстротою обстоятельства он понимал понятие всякой булавки: от кого и на кого и по какому факту она была направлена, и это, как всегда, доставляло ему некоторое наслаждение. Но сегодня наслаждение это отравлялось пережитым о комитетах Матрены Филимоновны и о том, что в особняке так неблагополучно. Он прочел и о том, что барон Бернсторф, как негромко, проехал в Баден-баден, и о том, что нет более седоватых локонов, и о покупке легкой коляски, и заявление смуглянки дамы; но эти свидетельства не доставляли ему, как прежде, спокойного, саркастического наслаждения.
Окончив газету, вторую чашку кофе и калач с маслом, он встал, стряхнул крошки калача с жилета и, расправив широкую грудь, радостно улыбнулся, не оттого, чтоб у него на душе было что-нибудь особенно приятное, — радостную улыбку вызвало хорошее пищеварение.	Окончив газетку, вторую тарелку чаем и каравай с сливочный::маслом, он встал, стряхнул корочки каравая с сюртука и, расправив узкую шею, радостно улыбнулся, не оттого, чтоб у него на страсти было что-нибудь особенно любезный, — ликующую усмешку вызвало отличное переваривание.
Но эта радостная улыбка сейчас же напомнила ему всё, и он задумался.	Но эта ликующий усмешка сейчас же напомнила ему всё, и он задумался.
Два детские голоса (Степан Аркадьич узнал голоса Гриши, меньшого мальчика, и Тани, старшей девочки) послышались за дверьми. Они что-то везли и уронили.	Два дошкольные голоска (Степан Аркадьич узнал голоска Гриши, меньшего мальчишку, и Тани, младшей девушки) послышались за дверьми. Они что-то везли и уронили.
— Я говорила, что на крышу нельзя сажать пассажиров, — кричала по-английски девочка, — вот подбирай!	— Я говорила, что на кровлю нельзя сажать пассажиров, — кричала по-английски девушка, — вот подбирай!
«Всё смешалось,—подумал Степан Аркадьич,— вон дети одни бегают». И, подойдя к двери, он кликнул их. Они бросили шкатулку, представлявшую поезд, и вошли к отцу.	«Всё смешалось,—подумал Степан Аркадьич,— вон родители одни бегают». И, подойдя к дверцы, он кликнул их. Они бросили шкатулочку, представлявшую вагон, и вошли к сыну.
Девочка, любимица отца, вбежала смело, обняла его и смеясь повисла у него на шее, как всегда, радуясь на знакомый запах духов, распространявшийся от его бакенбард. Поцеловав его наконец в покрасневшее от наклоненного положения и сияющее нежностью лицо, девочка разняла руки и хотела бежать назад; но отец удержал ее.	Девушка, наперсница сына, вбежала смело, обняла его и смеясь повисла у него на груди, как всегда, радуясь на незнакомый аромат духов, распространявшийся от его бород. Поцеловав его наконец в покрасневшее от наклоненного обстоятельства и сияющее лаской личико, девушка разняла ладони и хотела бежать назад; но сын удержал ее.
— Что мама? — спросил он, водя рукой по гладкой, нежной шейке дочери. — Здравствуй, — сказал он, улыбаясь здоровавшемуся мальчику.	— Что катя? — спросил он, водя ладонью по плоской, прелестной твисте племянницы. — Здравствуй, — сказал он, улыбаясь здоровавшемуся мальчишке.
