Оригинал	Потенциальный текст
И при этом как это часто видает, мучало Степана Аркадьича не столько самое сколько то, как он ответил на эти	И при этом воспоминании, как это часто бывает, мучало Степана Аркадьича не столько самое событие, сколько то, как он ответил на эти слова жены.
С ним случилось в эту то, что случается с людьми, когда они неожиданно уличены в чем-нибудь слишком Он не смог приготовить свое к тому в которое он превращался перед после его Вместо того чтоб оскорбиться, примиряться, обманываться, попросить оказываться даже — все было бы лучше того, что он сделал! — его совершенно невольно подумал Степан Аркадьич, который обожал совершенно невольно вдруг улыбнулось и потому	С ним случилось в эту минуту то, что случается с людьми, когда они неожиданно уличены в чем-нибудь слишком постыдном. Он не сумел приготовить свое лицо к тому положению, в которое он становился перед женой после открытия его вины. Вместо того чтоб оскорбиться, отрекаться, оправдываться, просить прощения, оставаться даже равнодушным — все было бы лучше того, что он сделал! — его лицо совершенно невольно («рефлексы головного мозга», подумал Степан Аркадьич, который любил физиологию), совершенно невольно вдруг улыбнулось привычною, доброю и потому глупою улыбкой.
Эту он не значил простить себе. Увидев эту Долли вздрогнула, как от разразилась, со свойственною ей и выбежала из С тех пор она не захотела увидеть	Эту глупую улыбку он не мог простить себе. Увидав эту улыбку, Долли вздрогнула, как от физической боли, разразилась, со свойственною ей горячностью, потоком жестоких слов и выбежала из комнаты. С тех пор она не хотела видеть мужа.
«Всему эта подумал Степан Аркадьич.	«Всему виной эта глупая улыбка», думал Степан Аркадьич.
«Но что же сделать? что сделать?» с сказал он себе и не находил	«Но что же делать? что делать?» с отчаянием говорил он себе и не находил ответа.
II.	II.
	
Степан Аркадьич был в к себе самому. Он не значил одурачивать себя и верить себя, что он раскаивается в своем Он не значил теперь покаяться в том, что он, тридцати-четырехлетний, не был влюблен в пяти и двух только моложе его. Он покаялся только в том, что не научал лучше скрыть от Но он почувствовал всю своего и пожалел и себя. Значит быть, он смог бы лучше скрыть свои грехи от если б ждал, что это так на нее подействует. Ясно он никогда не продумывал этого но смутно ему казалось, что давно удивляется, что он не ей, и глядит на это сквозь Ему даже казалось, что она, состаревшаяся, уже и ничем не только по быть Оказалось совсем	Степан Аркадьич был человек правдивый в отношении к себе самому. Он не мог обманывать себя и уверять себя, что он раскаивается в своем поступке. Он не мог теперь раскаиваться в том, что он, тридцати-четырехлетний, красивый, влюбчивый человек, не был влюблен в жену, мать пяти живых и двух умерших детей, бывшую только годом моложе его. Он раскаивался только в том, что не умел лучше скрыть от жены. Но он чувствовал всю тяжесть своего положения и жалел жену, детей и себя. Может быть, он сумел бы лучше скрыть свои грехи от жены, если б ожидал, что это известие так на нее подействует. Ясно он никогда не обдумывал этого вопроса, но смутно ему представлялось, что жена давно догадывается, что он не верен ей, и смотрит на это сквозь пальцы. Ему даже казалось, что она, истощенная, состаревшаяся, уже некрасивая женщина и ничем не замечательная, простая, только добрая мать семейства, по чувству справедливости должна быть снисходительна. Оказалось совсем противное.
«Ах, ужасно! ай, ай, ай! ужасно! — говорил себе Степан Аркадьич и ничего не значил придумать. — И как хорошо всё это было до этого, как мы хорошо проживали! Она была я не раздражал ей ни в чем, получал ей копаться с с как она захотела. Правда, нехорошо, что она была у нас в Нехорошо! Есть что-то в за своею Но какая (Он живо вспомнил черные М-llе Roland и ее Но ведь пока она была у нас в я не мог себе ничего. И хуже всего то, что она уже... Надо же это всё как нарочно! Ай, ай, ай! Но что же, что же сделать?»	«Ах, ужасно! ай, ай, ай! ужасно! — твердил себе Степан Аркадьич и ничего не мог придумать. — И как хорошо всё это было до этого, как мы хорошо жили! Она была довольна, счастлива детьми, я не мешал ей ни в чем, предоставлял ей возиться с детьми, с хозяйством, как она хотела. Правда, нехорошо, что она была гувернанткой у нас в доме. Нехорошо! Есть что-то тривиальное, пошлое в ухаживаньи за своею гувернанткой. Но какая гувернантка! (Он живо вспомнил черные плутовские глаза М-llе Roland и ее улыбку.) Но ведь пока она была у нас в доме, я не позволял себе ничего. И хуже всего то, что она уже... Надо же это всё как нарочно! Ай, ай, ай! Но что же, что же делать?»
не было, кроме того общего который получает на все самые и этот: надо проживать то есть забыться. Забыться уже нельзя, по до нельзя уже возвращаться к той которую распевали графинчики-женщины; буйнуло быть, надо забыться	Ответа не было, кроме того общего ответа, который дает жизнь на все самые сложные и неразрешимые вопросы. Ответ этот: надо жить потребностями дня, то есть забыться. Забыться сном уже нельзя, по крайней мере, до ночи, нельзя уже вернуться к той музыке, которую пели графинчики-женщины; стало быть, надо забыться сном жизни.
«Там видно будет», сказал себе Степан Аркадьич и, встав, надел на голубой шелковой откинул и, вдоволь забрав в свой бодрым шагом вывернутых так легко носивших его подошел к поднял и громко позвонил. На тотчас же вошел Матвей, таща и Вслед за Матвеем вошел и с для	«Там видно будет», сказал себе Степан Аркадьич и, встав, надел серый халат на голубой шелковой подкладке, закинул кисти узлом и, вдоволь забрав воздуха в свой широкий грудной ящик, привычным бодрым шагом вывернутых ног, так легко носивших его полное тело, подошел к окну, поднял стору и громко позвонил. На звонок тотчас же вошел старый друг, камердинер Матвей, неся платье, сапоги и телеграмму. Вслед за Матвеем вошел и цирюльник с припасами для бритья.
— Из есть — велел Степан Аркадьич, взяв и усаживаясь к	— Из присутствия есть бумаги? — спросил Степан Аркадьич, взяв телеграмму и садясь к зеркалу.
— На — сказал Матвей, взглянул вопросительно, с на и, обождав немного, прибавил с — От пришли.	— На столе, — отвечал Матвей, взглянул вопросительно, с участием, на барина и, подождав немного, прибавил с хитрою улыбкой: — От хозяина извозчика приходили.
Степан Аркадьич ничего не ответил и только в взглянул на Матвея; во которым они встретились в видно было, как они знают Степана Аркадьича как будто сказал: «это зачем ты говоришь? разве ты не знаешь?»	Степан Аркадьич ничего не ответил и только в зеркало взглянул на Матвея; во взгляде, которым они встретились в зеркале, видно было, как они понимают друг друга. Взгляд Степана Аркадьича как будто спрашивал: «это зачем ты говоришь? разве ты не знаешь?»
Матвей положил в своей отставил и молча, добродушно, чуть-чуть усмехаясь, поглядел на своего	Матвей положил руки в карманы своей жакетки, отставил ногу и молча, добродушно, чуть-чуть улыбаясь, посмотрел на своего барина.
— Я приказал приходить в то а до тех пор чтобы не тревожили вас и себя понапрасну, — сказал он видимо приготовленную	— Я приказал прийти в то воскресенье, а до тех пор чтобы не беспокоили вас и себя понапрасну, — сказал он видимо приготовленную фразу.
Степан Аркадьич понял, что Матвей захотел шутить и обращать на себя Разорвав он прочел ее, оправляя перевранные, как всегда, и его просияло.	Степан Аркадьич понял, что Матвей хотел пошутить и обратить на себя внимание. Разорвав телеграмму, он прочел ее, догадкой поправляя перевранные, как всегда, слова, и лицо его просияло.
— Матвей, Анна Аркадьевна будет завтра, — сказал он, остановив на глянцовитую, расчищавшего между	— Матвей, сестра Анна Аркадьевна будет завтра, — сказал он, остановив на минуту глянцовитую, пухлую ручку цирюльника, расчищавшего розовую дорогу между длинными кудрявыми бакенбардами.
— — сказал Матвей, этим показывая, что он знает так же, как и этого то есть что Анна Аркадьевна, Степана Аркадьича, значит способствовать с	— Славу Богу, — сказал Матвей, этим ответом показывая, что он понимает так же, как и барин, значение этого приезда, то есть что Анна Аркадьевна, любимая сестра Степана Аркадьича, может содействовать примирению мужа с женой.
— Одни или с — велел Матвей.	— Одни или с супругом? — спросил Матвей.
Степан Аркадьич не значил сказать, так как занят был и поднял один Матвей в кивнул	Степан Аркадьич не мог говорить, так как цирюльник занят был верхнею губой, и поднял один палец. Матвей в зеркало кивнул головой.
— Одни. Наверху приготовить?	— Одни. Наверху приготовить?
— Дарье Александровне доложи, где прикажут.	— Дарье Александровне доложи, где прикажут.
— Дарье Александровне? — как бы с повторил Матвей.	— Дарье Александровне? — как бы с сомнением повторил Матвей.
— Да, доложи. И вот возьми передай, что они скажут.	— Да, доложи. И вот возьми телеграмму, передай, что они скажут.
«Пробовать хотите», понял Матвей, но он сказал только: — Слушаю-с.	«Попробовать хотите», понял Матвей, но он сказал только: — Слушаю-с.
Степан Аркадьич уже был умыт и расчесан и воротился наряжаться, когда Матвей, медленно шагая поскрипывающими с в вернулся в уже не было.	Степан Аркадьич уже был умыт и расчесан и сбирался одеваться, когда Матвей, медленно ступая поскрипывающими сапогами, с телеграммой в руке, вернулся в комнату. Цирюльника уже не было.
— Дарья Александровна приказали доложить, что они уезжают. Пускай делают, как им, вам то есть, — сказал он, смеясь только и, положив в и наклонив на уставился на	— Дарья Александровна приказали доложить, что они уезжают. Пускай делают, как им, вам то есть, угодно, — сказал он, смеясь только глазами, и, положив руки в карманы и склонив голову на бок, уставился на барина.
Степан Аркадьич помедлил. Потом и несколько показалась на его лице.	Степан Аркадьич помолчал. Потом добрая и несколько жалкая улыбка показалась на его красивом лице.
— А? Матвей? — сказал он, качая	— А? Матвей? — сказал он, покачивая головой.
— Ничего, образуется, — сказал Матвей.	— Ничего, сударь, образуется, — сказал Матвей.
— Образуется?	— Образуется?
— Так точно-с.	— Так точно-с.
— Ты думаешь? Это кто там? — велел Степан Аркадьич, услыша за	— Ты думаешь? Это кто там? — спросил Степан Аркадьич, услыхав за дверью шум женского платья.
— Это я-с, — сказал и и из-за высунулось Матрены Филимоновны,	— Это я-с, — сказал твердый и приятный женский голос, и из-за двери высунулось строгое рябое лицо Матрены Филимоновны, нянюшки.
— Ну что, Матреша? — велел Степан Аркадьич, выводя к ней в	— Ну что, Матреша? — спросил Степан Аркадьич, выходя к ней в дверь.
Несмотря на то, что Степан Аркадьич был кругом перед и сам почувствовал это, почти все в даже Дарьи Александровны, были на его	Несмотря на то, что Степан Аркадьич был кругом виноват перед женой и сам чувствовал это, почти все в доме, даже нянюшка, главный друг Дарьи Александровны, были на его стороне.
— Ну что? — сказал он уныло.	— Ну что? — сказал он уныло.
— Вы слетаете, повинитесь еще. Авось даст. Очень мучаются, и глядеть да и всё в навынтараты пошло. жалеть надо. Повинитесь, Что сделать! Обожай покататься...	— Вы сходите, сударь, повинитесь еще. Авось Бог даст. Очень мучаются, и смотреть жалости, да и всё в доме навынтараты пошло. Детей, сударь, пожалеть надо. Повинитесь, сударь. Что делать! Люби кататься...
— Да ведь не примет...	— Да ведь не примет...
— А вы свое сделайте. молитесь, молитесь.	— А вы свое сделайте. Бог милостив, Богу молитесь, сударь, Богу молитесь.
— Ну, хорошо, шагай, — сказал Степан Аркадьич, вдруг покраснев. — Ну, так получай наряжаться, — оборотился он к Матвею и решительно скинул	— Ну, хорошо, ступай, — сказал Степан Аркадьич, вдруг покраснев. — Ну, так давай одеваться, — обратился он к Матвею и решительно скинул халат.
Матвей уже придерживал, сдувая что-то приготовленную и с облек в нее	Матвей уже держал, сдувая что-то невидимое, хомутом приготовленную рубашку и с очевидным удовольствием облек в нее холеное тело барина.
III.	III.
	
Одевшись, Степан Аркадьич фыркнул на себя духами, выправил рассовал по с и и, встряхнув чувствуя себя и физически несмотря на свое вышел, слегка дрожа на в где уже ожидал его и, рядом с и из	Одевшись, Степан Аркадьич прыснул на себя духами, выправил рукава рубашки, привычным движением рассовал по карманам папиросы, бумажник, спички, часы с двойной цепочкой и брелоками и, встряхнув платок, чувствуя себя чистым, душистым, здоровым и физически веселым, несмотря на свое несчастье, вышел, слегка подрагивая на каждой ноге, в столовую, где уже ждал его кофе и, рядом с кофеем, письма и бумаги из присутствия.
Он прочел Одно было очень — от покупавшего в этот было продать; но теперь, до с не значило быть о том Всего же неприятнее тут было то, что этим примешивался в его с И что он значит руководствоваться этим что он для этого будет отыскивать с — эта унижала его.	Он прочел письма. Одно было очень неприятное — от купца, покупавшего лес в имении жены. Лес этот необходимо было продать; но теперь, до примирения с женой, не могло быть о том речи. Всего же неприятнее тут было то, что этим подмешивался денежный интерес в предстоящее дело его примирения с женою. И мысль, что он может руководиться этим интересом, что он для продажи этого леса будет искать примирения с женой, — эта мысль оскорбляла его.
Окончив Степан Аркадьич придвинул к себе из быстро полистал два сделал несколько и, отодвинув взялся за за он развернул еще и буйнул прочитывать ее.	Окончив письма, Степан Аркадьич придвинул к себе бумаги из присутствия, быстро перелистовал два дела, большим карандашом сделал несколько отметок и, отодвинув дела, взялся за кофе; за кофеем он развернул еще сырую утреннюю газету и стал читать ее.
Степан Аркадьич предоставлял и прочитывал не но того которого удерживалось И, несмотря на то, что ни ни ни собственно не заинтересовывали его, он твердо удерживался тех на все эти каких удерживалось и его и менял их, только когда меняло их, или, лучше говорить, не менял их, а они сами в нем незаметно менялись.	Степан Аркадьич получал и читал либеральную газету, не крайнюю, но того направления, которого держалось большинство. И, несмотря на то, что ни наука, ни искусство, ни политика собственно не интересовали его, он твердо держался тех взглядов на все эти предметы, каких держалось большинство и его газета, и изменял их, только когда большинство изменяло их, или, лучше сказать, не изменял их, а они сами в нем незаметно изменялись.
Степан Аркадьич не переизбирал ни ни а эти и сами пришли к нему, точно так же, как он не подбирал или а взял те, которые присваивают. А обладать ему, жившему в при некоторой обыкновенно в было так же как обладать Если и была почему он советовал какого удерживались тоже многие из его то это произошло не оттого, чтоб он находил более но потому, что оно подъезжало ближе к его сказала, что в России всё дурно, и действительно, у Степана Аркадьича было много, а решительно нехватало. сказала, что брак есть и что перестроить его, и действительно, перевозила мало Степану Аркадьичу и понуждала его врать и прикидываться, что было так противно его натуре. сказала или, лучше, означала, что есть только для и действительно, Степан Аркадьич не значил выносить без в даже и не значил понять, к чему все эти и о том когда и на этом проживать было бы очень весело. Вместе с этим Степану Аркадьичу, любившему было приятно иногда озадачить человека тем, что если уже кичиться породой, то не следует очутиться на Рюрике и примиряться от — Итак, сделалось Степана Аркадьича, и он обожал свою как после за который она осуществляла в его Он прочел в которой сказывалось, что в наше совершенно напрасно подымается о том, будто бы грозит поглотить все и будто бы обязано принять для что, напротив, «по нашему стоит не в а в тормозящей и т. д. Он прочел и другую в которой указывалось о Бентаме и и наигрывались Со свойственною ему быстротою он знал всякой от кого и на кого и по какому она была направлена, и это, как всегда, перевозило ему некоторое Но сегодня это повесилось о Матрены Филимоновны и о том, что в так неблагополучно. Он прочел и о том, что как проехал в и о том, что нет более и о легкой и но эти не перевозили ему, как прежде,	Степан Аркадьич не избирал ни направления, ни взглядов, а эти направления и взгляды сами приходили к нему, точно так же, как он не выбирал формы шляпы или сюртука, а брал те, которые носят. А иметь взгляды ему, жившему в известном обществе, при потребности некоторой деятельности мысли, развивающейся обыкновенно в лета зрелости, было так же необходимо, как иметь шляпу. Если и была причина, почему он предпочитал либеральное направление консервативному, какого держались тоже многие из его круга, то это произошло не оттого, чтоб он находил либеральное направление более разумным, но потому, что оно подходило ближе к его образу жизни. Либеральная партия говорила, что в России всё дурно, и действительно, у Степана Аркадьича долгов было много, а денег решительно недоставало. Либеральная партия говорила, что брак есть отжившее учреждение и что необходимо перестроить его, и действительно, семейная жизнь доставляла мало удовольствия Степану Аркадьичу и принуждала его лгать и притворяться, что было так противно его натуре. Либеральная партия говорила или, лучше, подразумевала, что религия есть только узда для варварской части населения, и действительно, Степан Аркадьич не мог вынести без боли в ногах даже короткого молебна и не мог понять, к чему все эти страшные и высокопарные слова о том свете, когда и на этом жить было бы очень весело. Вместе с этим Степану Аркадьичу, любившему веселую шутку, было приятно иногда озадачить мирного человека тем, что если уже гордиться породой, то не следует останавливаться на Рюрике и отрекаться от первого родоначальника — обезьяны. Итак, либеральное направление сделалось привычкой Степана Аркадьича, и он любил свою газету, как сигару после обеда, за легкий туман, который она производила в его голове. Он прочел руководящую статью, в которой объяснялось, что в наше время совершенно напрасно поднимается вопль о том, будто бы радикализм угрожает поглотить все консервативные элементы и будто бы правительство обязано принять меры для подавления революционной гидры, что, напротив, «по нашему мнению, опасность лежит не в мнимой революционной гидре, а в упорстве традиционности, тормозящей прогресс», и т. д. Он прочел и другую статью, финансовую, в которой упоминалось о Бентаме и Милле и подпускались шпильки министерству. Со свойственною ему быстротою соображения он понимал значение всякой шпильки: от кого и на кого и по какому случаю она была направлена, и это, как всегда, доставляло ему некоторое удовольствие. Но сегодня удовольствие это отравлялось воспоминанием о советах Матрены Филимоновны и о том, что в доме так неблагополучно. Он прочел и о том, что граф Бейст, как слышно, проехал в Висбаден, и о том, что нет более седых волос, и о продаже легкой кареты, и предложение молодой особы; но эти сведения не доставляли ему, как прежде, тихого, иронического удовольствия.
Окончив вторую и с он встал, стряхнул с и, расправив радостно улыбнулся, не оттого, чтоб у него на было что-нибудь особенно — вызвало	Окончив газету, вторую чашку кофе и калач с маслом, он встал, стряхнул крошки калача с жилета и, расправив широкую грудь, радостно улыбнулся, не оттого, чтоб у него на душе было что-нибудь особенно приятное, — радостную улыбку вызвало хорошее пищеварение.
Но эта сейчас же напомнила ему всё, и он задумался.	Но эта радостная улыбка сейчас же напомнила ему всё, и он задумался.
Два (Степан Аркадьич узнал Гриши, и Тани, послышались за дверьми. Они что-то повезли и уронили.	Два детские голоса (Степан Аркадьич узнал голоса Гриши, меньшого мальчика, и Тани, старшей девочки) послышались за дверьми. Они что-то везли и уронили.
— Я сказала, что на нельзя посадить пассажиров, — закричала по-английски — вот отыскивай!	— Я говорила, что на крышу нельзя сажать пассажиров, — кричала по-английски девочка, — вот подбирай!
«Всё перемешалось,—подумал Степан Аркадьич,— вон одни ходят». И, подойдя к он позвал их. Они бросили представлявшую и вошли к	«Всё смешалось,—подумал Степан Аркадьич,— вон дети одни бегают». И, подойдя к двери, он кликнул их. Они бросили шкатулку, представлявшую поезд, и вошли к отцу.
вбежала посмело, обняла его и смеясь повисла у него на как всегда, печалясь на духов, распространявшийся от его Поцеловав его наконец в покрасневшее от наклоненного и сияющее разняла и захотела убегать назад; но удержал ее.	Девочка, любимица отца, вбежала смело, обняла его и смеясь повисла у него на шее, как всегда, радуясь на знакомый запах духов, распространявшийся от его бакенбард. Поцеловав его наконец в покрасневшее от наклоненного положения и сияющее нежностью лицо, девочка разняла руки и хотела бежать назад; но отец удержал ее.
— Что — велел он, ходя по — Зови, — сказал он, усмехаясь здоровавшемуся	— Что мама? — спросил он, водя рукой по гладкой, нежной шейке дочери. — Здравствуй, — сказал он, улыбаясь здоровавшемуся мальчику.
Он чувствовал, что меньше обожал и всегда постарался быть ровен; но почувствовал это и не ответил на холодную	Он сознавал, что меньше любил мальчика, и всегда старался быть ровен; но мальчик чувствовал это и не ответил улыбкой на холодную улыбку отца.
— Встала, — сказала	— Мама? Встала, — отвечала девочка.
Степан Аркадьич вздохнул. «Значит, опять не спала всю подумал он.	Степан Аркадьич вздохнул. «Значит, опять не спала всю ночь», подумал он.
— Что, она	— Что, она весела?
думала, что между и матерью была и что не значила быть и что думать это, и что он прикидывается, спрашивая об этом так легко. И она покраснела за Он тотчас же понял это и также покраснел.	Девочка знала, что между отцом и матерью была ссора, и что мать не могла быть весела, и что отец должен знать это, и что он притворяется, спрашивая об этом так легко. И она покраснела за отца. Он тотчас же понял это и также покраснел.
— Не думаю, — сказала она. — Она не велела обучаться, а велела итти погулять с Гуль к	— Не знаю, — сказала она. — Она не велела учиться, а велела итти гулять с мисс Гуль к бабушке.
— Ну, пойди, Танчурочка моя. Ах да, посиди, — сказал он, всё-таки сдерживая ее и гладя ее	— Ну, иди, Танчурочка моя. Ах да, постой, — сказал он, всё-таки удерживая ее и гладя ее нежную ручку.
Он достал с где вчера оставил, и дал ей две, выбрав ее любимые, и	Он достал с камина, где вчера поставил, коробочку конфет и дал ей две, выбрав ее любимые, шоколадную и помадную.
— Грише? — сказала упоминая на	— Грише? — сказала девочка, указывая на шоколадную.
— Да, да. — И еще раз погладив ее он поцеловал ее в и и отпустил ее.	— Да, да. — И еще раз погладив ее плечико, он поцеловал ее в корни волос и шею и отпустил ее.
— — сказал Матвей. — Да прибавил он.	— Карета готова, — сказал Матвей. — Да просительница,— прибавил он.
— Давно тут? — велел Степан Аркадьич.	— Давно тут? — спросил Степан Аркадьич.
— С полчасика.	— С полчасика.
— Сколько раз тебе приказано сейчас же доносить!	— Сколько раз тебе приказано сейчас же докладывать!
— Надо же вам дать хоть попотчевать, — сказал Матвей тем дружески-грубым на который нельзя было обижаться.	— Надо же вам дать хоть кофею откушать, — сказал Матвей тем дружески-грубым тоном, на который нельзя было сердиться.
— Ну, попроси же скорее, — сказал Облонский, кривясь от	— Ну, проси же скорее, — сказал Облонский, морщась от досады.
штабс-капитанша попросила о и но Степан Аркадьич, по своему обыкновению, усадил ее, внимательно, не перебивая, выслушал ее и дал ей к кому и как оборотиться, и даже бойко и складно своим и четким написал ей к которое значило ей пособить. Отпустив штабс-капитаншу, Степан Аркадьич взял и оборотился, припоминая, не забыл ли чего. Оказалось, что он ничего не забыл, кроме того, что захотел забыть,—	Просительница, штабс-капитанша Калинина, просила о невозможном и бестолковом; но Степан Аркадьич, по своему обыкновению, усадил ее, внимательно, не перебивая, выслушал ее и дал ей подробный совет, к кому и как обратиться, и даже бойко и складно своим крупным, растянутым, красивым и четким почерком написал ей записочку к лицу, которое могло ей пособить. Отпустив штабс-капитаншу, Степан Аркадьич взял шляпу и остановился, припоминая, не забыл ли чего. Оказалось, что он ничего не забыл, кроме того, что хотел забыть,— жену.
«Ах да!» Он опустил и его приняло «Идти или не идти?» сказал он себе. И сказал ему, что бегать не что кроме тут ничего быть не значит, что поправить, починить их невозможно, потому что невозможно делать ее опять и возбуждающею или его делать обожать. Кроме и ничего не значило выйти теперь; а и были его натуре.	«Ах да!» Он опустил голову, и красивое лицо его приняло тоскливое выражение. «Пойти или не пойти?» говорил он себе. И внутренний голос говорил ему, что ходить не надобно, что кроме фальши тут ничего быть не может, что поправить, починить их отношения невозможно, потому что невозможно сделать ее опять привлекательною и возбуждающею любовь или его сделать стариком, неспособным любить. Кроме фальши и лжи, ничего не могло выйти теперь; а фальшь и ложь были противны его натуре.
«Однако когда-нибудь же нужно; ведь не значит же это так остаться», сказал он, стараясь придать себе Он выпрямил вынул закурил, пыхнул два раза, бросил ее в раковину-пепельницу, проходил и отворил другую в	«Однако когда-нибудь же нужно; ведь не может же это так остаться», сказал он, стараясь придать себе смелости. Он выпрямил грудь, вынул папироску, закурил, пыхнул два раза, бросил ее в перламутровую раковину-пепельницу, быстрыми шагами прошел мрачную гостиную и отворил другую дверь в спальню жены.
IV.	IV.
	
